-214193,119.47343190,-214131.14733448,244.85390527,-214174.61296079,0.09528527,0.78084521
-61387,254.24896113,-61371.05305245,208.85673854,-61383.00033809,0.27737211,0.69755097
25469,181.43599674,25556.78909040,213.74684266,25495.80580630,0.20356915,0.73513300
49217,188.66392267,49297.58456814,292.04624333,49238.49874065,0.21223119,0.72875422
171307,289.09156663,171378.53929242,156.81901408,171318.43281621,0.28637023,0.70901478
210155,59.11974155,210187.90813795,108.05563294,210180.68968694,0.09628051,0.77448996
253427,228.31455471,253468.41300131,39.35609790,253442.85755038,0.25373087,0.70110526
369740,34.46076993,369798.55912563,98.56585102,369763.74537464,0.14947226,0.76300529
400085,63.18799597,400113.61851113,332.95829627,400091.57747170,0.08848682,0.77706750
434355,2.45759133,434446.32856129,92.25965175,434376.57740707,0.20921761,0.74833511
452605,350.47593491,452615.13485183,78.13202910,452627.19135654,0.22855241,0.74277583
470160,13.49822087,470240.01739146,274.94699539,470167.57781994,0.18985990,0.75335526
473837,37.40392033,473892.43257169,128.36284427,473858.85275096,0.14392087,0.76467359
507850,81.02813004,507859.91198066,89.51845095,507878.66644766,bogus,0.78433961
524156,313.86049865,524202.62240048,24.60732253,524179.24672296,0.27236120,0.72276384
544676,19.95443016,544749.31873966,53.48595685,544702.75359809,0.17806797,0.75639222
567118,176.05943166,567122.51216808,187.89852003,567146.51296959,0.19683957,0.73990499
569477,344.92295175,569492.67324521,320.17236210,569479.20305262,0.23657876,0.73990103
601716,79.96492182,601727.01872572,314.04256672,601727.03342591,0.04574811,0.78435570
613424,99.30231774,613508.25906131,145.47406514,613449.76202068,bogus,0.78738427
626596,121.53530417,626656.97091524,185.03050779,626620.36971599,0.10559532,0.78225575
645554,88.56742889,645556.00195413,142.18913275,645579.07669134,bogus,0.78660796
664224,129.28988410,664276.90771856,253.74337532,664242.88668371,0.12246288,0.77841350
671401,6.14691069,671488.16688559,151.64868502,671418.97051052,0.20285682,0.74993602
694799,28.25199345,694863.62831111,287.98774365,694807.56336115,0.16257908,0.76049482
704424,151.78063303,704453.53616031,25.62670716,704433.49117744,0.16328929,0.76217276
708842,185.94586702,708926.23905277,290.28830065,708863.59699655,0.20869819,0.73088844
709409,28.55560762,709473.30003966,189.91314246,709424.40492600,0.16202027,0.76065470
709580,193.34789216,709656.72816320,284.93173003,709602.08268338,0.21691225,0.72424991
727274,357.15125499,727277.36658157,152.33904427,727291.20940009,0.21768765,0.74560498
728714,336.17069248,728738.33535122,51.66226508,728737.44769130,0.24798074,0.73498502
744313,228.18487948,744354.79280712,26.68206023,744329.57399825,0.25189056,0.70004923
764652,116.43935226,764718.46883692,175.50082261,764676.19126387,0.09495560,0.78477080
